Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,50.792500,51.122501,50.162498,50.387501,49.385983,109012000
2019-07-02,50.352501,50.782501,50.340000,50.682499,49.675121,67740800
2019-07-03,50.820000,51.110001,50.672501,51.102501,50.086777,45448000
2019-07-05,50.837502,51.270000,50.724998,51.057499,50.042667,69062000
2019-07-08,50.202499,50.349998,49.602501,50.005001,49.011086,101354400
2019-07-09,49.799999,50.377499,49.702499,50.310001,49.310032,82312000
2019-07-10,50.462502,50.932499,50.389999,50.807499,49.797630,71588400
2019-07-11,50.827499,51.097500,50.427502,50.437500,49.434998,80767200
2019-07-12,50.612499,51.000000,50.549999,50.825001,49.814785,70380800
2019-07-15,51.022499,51.467499,51.000000,51.302502,50.282806,67789600
2019-07-16,51.147499,51.527500,50.875000,51.125000,50.108826,67467200
2019-07-17,51.012501,51.272499,50.817501,50.837502,49.827045,56430000
2019-07-18,51.000000,51.470001,50.924999,51.415001,50.393063,74162400
2019-07-19,51.447498,51.625000,50.590000,50.647499,49.640816,83717200
2019-07-22,50.912498,51.807499,50.902500,51.805000,50.775307,89111600
2019-07-23,52.115002,52.227501,51.822498,52.209999,51.172260,73420800
2019-07-24,51.917500,52.287498,51.792500,52.167500,51.130600,59966400
2019-07-25,52.222500,52.310001,51.682499,51.755001,50.726307,55638400
2019-07-26,51.869999,52.432499,51.785000,51.935001,50.902725,70475600
2019-07-29,52.115002,52.660000,52.110001,52.419998,51.378078,86693600
2019-07-30,52.189999,52.540001,51.827499,52.195000,51.157562,135742800
2019-07-31,54.105000,55.342499,52.825001,53.259998,52.201385,277125600
2019-08-01,53.474998,54.507500,51.685001,52.107498,51.071793,216071600
2019-08-02,51.382500,51.607498,50.407501,51.005001,49.991215,163448400
2019-08-05,49.497501,49.662498,48.145000,48.334999,47.374287,209572000
2019-08-06,49.077499,49.517502,48.509998,49.250000,48.271091,143299200
2019-08-07,48.852501,49.889999,48.455002,49.759998,48.770958,133457600
2019-08-08,50.049999,50.882500,49.847500,50.857498,49.846642,108038000
2019-08-09,50.325001,50.689999,49.822498,50.247501,49.435886,98478800
2019-08-12,49.904999,50.512501,49.787498,50.119999,49.310444,89927600
2019-08-13,50.255001,53.035000,50.119999,52.242500,51.398666,188874000
2019-08-14,50.790001,51.610001,50.647499,50.687500,49.868778,146189600
2019-08-15,50.865002,51.285000,49.917500,50.435001,49.620358,108909600
2019-08-16,51.070000,51.790001,50.959999,51.625000,50.791138,110481600
2019-08-19,52.654999,53.182499,52.507500,52.587502,51.738094,97654400
2019-08-20,52.720001,53.337502,52.580002,52.590000,51.740555,107537200
2019-08-21,53.247501,53.412498,52.900002,53.160000,52.301346,86141600
2019-08-22,53.297501,53.610001,52.687500,53.115002,52.257072,89014800
2019-08-23,52.357498,53.012501,50.250000,50.660000,49.841724,187272000
2019-08-26,51.465000,51.797501,51.264999,51.622501,50.788677,104174400
2019-08-27,51.965000,52.137501,50.882500,51.040001,50.215584,103493200
2019-08-28,51.025002,51.430000,50.830002,51.382500,50.552551,63755200
2019-08-29,52.125000,52.330002,51.665001,52.252499,51.408504,83962000
2019-08-30,52.540001,52.612499,51.799999,52.185001,51.342091,84573600
2019-09-03,51.607498,51.744999,51.055000,51.424999,50.594368,80092000
2019-09-04,52.097500,52.369999,51.830002,52.297501,51.452774,76752400
2019-09-05,53.000000,53.492500,52.877499,53.320000,52.458755,95654800
2019-09-06,53.512501,53.605000,53.127499,53.314999,52.453838,77449200
2019-09-09,53.709999,54.110001,52.767502,53.542500,52.677666,109237600
2019-09-10,53.465000,54.195000,52.927502,54.174999,53.299942,127111600
2019-09-11,54.517502,55.927502,54.432499,55.897499,54.994621,177158400
2019-09-12,56.200001,56.605000,55.715000,55.772499,54.871639,128906800
2019-09-13,55.000000,55.197498,54.255001,54.687500,53.804165,159053200
2019-09-16,54.432499,55.032501,54.389999,54.974998,54.087029,84632400
2019-09-17,54.990002,55.205002,54.779999,55.174999,54.283798,73274800
2019-09-18,55.264999,55.712502,54.860001,55.692501,54.792931,101360000
2019-09-19,55.502499,55.939999,55.092499,55.240002,54.347748,88242400
2019-09-20,55.345001,55.639999,54.367500,54.432499,53.553288,221652400
2019-09-23,54.737499,54.959999,54.412498,54.680000,53.796787,76662000
2019-09-24,55.257500,55.622501,54.297501,54.419998,53.540985,124763200
2019-09-25,54.637501,55.375000,54.285000,55.257500,54.364967,87613600
2019-09-26,55.000000,55.235001,54.707500,54.972500,54.084568,75334000
2019-09-27,55.134998,55.240002,54.320000,54.705002,53.821392,101408000
2019-09-30,55.224998,56.145000,55.197498,55.992500,55.088093,103909600
